id;name;age;company;location;position;;
FuMe;FunkeMediengruppe;;;Berlin;;;
HuBuMe;HubertBurdaMedia;;;Berlin;;;
FrIPA;FraunhoferIPA;;;Mannheim;;;
GlMeAw;GlobalMediaAward;;InternationalNewsMediaAssociation;;;;
25Ne;Die25NewcomerDesJahres;;KressPro;;;;
EcPr;Eckensberger-Preis;;EckensbergerStiftung;Braunschweig;;BraunschweigerZeitung;
EuDiPuAw;EuropeanDigitalPublishingAward;;MedienfachverlagOberauer;;;;
JuWe;JuliaWeller;;BadischenNeuestenNachrichten;Karlsruhe;Wissenschaftsredakteurin ;Freie Journalistin;30 u 30 frei gewonnen
BaNeNa;BadischenNeuestenNachrichten;;Badendruck GmbH;Karlsruhe;;;
FrInSyInRe;Fraunhofer Institute for Systems and Innovation Research ISI;;;Karlsruhe;;;
KIT;KarlsruherInstitutfuerTechnologie;;;Karlsruhe;;;
HeSt;HeilbronnerStimme;;HeilbronnerStimmeGmbHUndCo.KG;Heilbronn;;;
FAU;FAUErlangen-Nürnberg;;;Nuernberg;;;
KaJo;KatholischeJournalistenschuleIFP;;;Muenchen;;;
PaWoSePr;Pater-Wolfgang-Seibel-Preis;;InstitutZurFörderungPublizistischenNachwuchses;Muenchen;;;
DeLoJo;DeutscherLokaljournalistenpreis;;Konrad-Adenauer-Stiftung;Bonn;;;
MaWu;MaikeWurtscheid;28;DocuvistaFilmproduktion;Berlin;Regisseurin ;;
DoFi;DocuvistaFilmproduktion;;;Berlin;;;
UnMai;Universitaet Mainz;;;Mainz;;;
3SAT;3Sat;;;;;;
